smk_id,smk_latitude,smk_longitude,wof_id,wof_parentid,wof_name,wof_placetype
988,56.67031056612766,9.487185911639404,1159297825,85682597,Hoje-Taastrup,localadmin
994,56.67027981471732,9.487421946032715,85682597,85633121,Central Jutland,region
994,56.67027981471732,9.487421946032715,1394014051,85682597,Viborg,localadmin
994,56.67027981471732,9.487421946032715,1159297825,85682597,Hoje-Taastrup,localadmin
994,56.67027981471732,9.487421946032715,85633121,102191581,Denmark,country
1014,56.16258054812272,10.203320185180663,85682597,85633121,Central Jutland,region
1014,56.16258054812272,10.203320185180663,101749163,1394013977,Århus,locality
1014,56.16258054812272,10.203320185180663,1394013977,85682597,Aarhus,localadmin
1014,56.16258054812272,10.203320185180663,85633121,102191581,Denmark,country
1014,56.16258054812272,10.203320185180663,1159297797,85682597,Lolland,localadmin
993,56.670335883778655,9.487389759524536,85633121,102191581,Denmark,country
993,56.670335883778655,9.487389759524536,85682597,85633121,Central Jutland,region
993,56.670335883778655,9.487389759524536,1394014051,85682597,Viborg,localadmin
993,56.670335883778655,9.487389759524536,1159297825,85682597,Hoje-Taastrup,localadmin
990,56.6702816046321,9.487400488360596,85682597,85633121,Central Jutland,region
990,56.6702816046321,9.487400488360596,85633121,102191581,Denmark,country
990,56.6702816046321,9.487400488360596,1394014051,85682597,Viborg,localadmin
990,56.6702816046321,9.487400488360596,1159297825,85682597,Hoje-Taastrup,localadmin
1006,56.531473279244146,9.573056147885145,85682597,85633121,Central Jutland,region
1006,56.531473279244146,9.573056147885145,85633121,102191581,Denmark,country
1006,56.531473279244146,9.573056147885145,1394014051,85682597,Viborg,localadmin
1006,56.531473279244146,9.573056147885145,1159297825,85682597,Hoje-Taastrup,localadmin
989,56.6702021324947,9.487228826983642,85682597,85633121,Central Jutland,region
989,56.6702021324947,9.487228826983642,85633121,102191581,Denmark,country
989,56.6702021324947,9.487228826983642,1159297825,85682597,Hoje-Taastrup,localadmin
989,56.6702021324947,9.487228826983642,1394014051,85682597,Viborg,localadmin
991,56.67022918905489,9.487486319049072,85682597,85633121,Central Jutland,region
991,56.67022918905489,9.487486319049072,85633121,102191581,Denmark,country
991,56.67022918905489,9.487486319049072,1394014051,85682597,Viborg,localadmin
991,56.67022918905489,9.487486319049072,1159297825,85682597,Hoje-Taastrup,localadmin
992,56.67023205476949,9.487250284655762,85682597,85633121,Central Jutland,region
992,56.67023205476949,9.487250284655762,85633121,102191581,Denmark,country
992,56.67023205476949,9.487250284655762,1159297825,85682597,Hoje-Taastrup,localadmin
992,56.67023205476949,9.487250284655762,1394014051,85682597,Viborg,localadmin
1005,56.53147244646986,9.572766469311537,85682597,85633121,Central Jutland,region
